franchise,bat_first_ratio,chase_ratio,pp_bat_ratio,death_bat_ratio,death_bowl_stingy,bowl_first_stingy,bowl_second_stingy,bat_dom,bowl_dom,field_dom,n_innings_bat_1,n_innings_bat_2
Chennai Super Kings,0.9549634520160339,1.0670731707317074,1.068556108770586,1.0982367758186398,0.9363207547169813,0.8863113897596657,0.9541818181818181,-0.04518612045735829,-0.3037416169745134,-0.2857491243233013,4,2
Delhi Capitals,1.0,1.0492886178861789,0.9766373037150518,1.0377833753148615,1.1408045977011496,1.0318734793187347,1.0,-0.09897912100183208,-0.25392238712733556,-0.25477360949150724,0,6
Gujarat Titans,0.9372789436453666,0.9051067073170732,0.9766373037150518,0.7506297229219143,0.7324723247232473,0.9471803461753211,0.8717607973421926,-0.8117363782161273,-0.1122489522494228,-0.12312767145638183,2,4
Kolkata Knight Riders,1.056354633341193,0.9324186991869919,0.9728073535044045,1.1032745591939546,0.9363207547169813,1.06025,0.9461538461538461,-0.15277212154630773,-0.6213392072502736,-0.6264797874730375,3,3
Lucknow Super Giants,0.8441405328931855,0.8727134146341464,0.9060567926902665,0.8722562072688017,1.0025252525252526,1.0432964329643297,1.2862745098039214,-1.3738732339058919,-0.2694908964545788,-0.27026136690740443,3,4
Mumbai Indians,0.9195944352746993,1.1928353658536586,1.061662198391421,1.1365239294710328,1.2822997416020672,0.8315686274509805,1.2148148148148148,0.3259855832995194,-0.7272050706755269,-0.7194063319684201,3,2
Punjab Kings,1.4147606696533837,1.1070884146341464,1.1673688242052853,1.1002518891687656,0.9452380952380953,1.0061684460260973,1.0330708661417323,2.222188852492264,-0.23835387780009232,-0.23928585207561004,1,4
Royal Challengers Bangalore,1.0964395189813723,1.1242378048780488,0.9536576024511682,0.9269521410579344,1.0614973262032086,1.1131233595800525,0.9541818181818181,0.8423983885264796,2.778823229819627,2.780826844024323,4,2
Rajasthan Royals,0.9738269276114123,0.8663617886178863,1.0570662581386443,0.801007556675063,0.8822222222222222,1.0471604938271606,1.0040816326530613,-0.8090467281889042,0.0014011658394522673,-0.0069694908371532955,3,3
Sunrisers Hyderabad,1.0176171388149695,1.0,0.9257536794878809,1.2004318100035984,1.3703155818540436,1.0,0.94680412371134,-0.09897912100183208,-0.25392238712733556,-0.25477360949150724,7,0
